CODE_INSEE_COMMMUNE;NOM_JEU_DE_DONNEES;DATE_HAURE;NOM_CAPTEUR;LOCALISATION_CAPTEUR;NOMBRE_PASSAGES;EVENEMENT
76540;ROUEN_FLUX_PIETONS;2022-05-07T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;10655.0;
76540;ROUEN_FLUX_PIETONS;2022-05-08T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;5145.0;
76540;ROUEN_FLUX_PIETONS;2022-05-11T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;7772.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-13T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;9661.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-15T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;2461.0;
76540;ROUEN_FLUX_PIETONS;2022-05-23T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;5344.0;
76540;ROUEN_FLUX_PIETONS;2022-05-25T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;8186.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-26T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;5826.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-27T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;9757.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-31T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;7567.0;
76540;ROUEN_FLUX_PIETONS;2022-05-01T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;1525.0;
76540;ROUEN_FLUX_PIETONS;2022-05-03T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4285.0;
76540;ROUEN_FLUX_PIETONS;2022-05-05T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4623.0;
76540;ROUEN_FLUX_PIETONS;2022-05-07T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;7964.0;
76540;ROUEN_FLUX_PIETONS;2022-05-09T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4116.0;
76540;ROUEN_FLUX_PIETONS;2022-05-14T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;34946.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-16T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;6120.0;
76540;ROUEN_FLUX_PIETONS;2022-05-17T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;5503.0;
76540;ROUEN_FLUX_PIETONS;2022-05-21T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;7906.0;
76540;ROUEN_FLUX_PIETONS;2022-05-29T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;10197.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-31T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4636.0;
